# class blue green red nir swir_1 swir_2 red_edge_1 red_edge_2 red_edge_3 BCMAD EMAD SMAD NDVI LAI MNDWI slope elevation mrrtf mrvbf
0.000000 629.077586 900.752874 1175.928161 2347.692529 3210.068966 2369.709770 1529.540230 2026.275862 2243.402299 0.072409 1020.299377 0.005020 0.339549 0.609400 -0.564276 2.585619 1529.456897 4.353448 2.899425
0.000000 740.791489 1091.659574 1491.127660 2586.948936 3662.744681 2850.400000 1854.127660 2282.114894 2488.395745 0.069422 1073.325439 0.002938 0.271206 0.504038 -0.542035 2.489238 1529.625532 2.608511 3.148936
0.000000 559.360000 781.652308 996.855385 2117.676923 2926.941538 2029.809231 1329.301538 1800.018462 2011.246154 0.078554 985.099976 0.005120 0.361240 0.612183 -0.579465 2.414535 1528.603077 4.710769 1.990769
0.000000 801.885321 1156.449541 1604.128440 2609.334862 3651.463303 2778.715596 1949.316514 2298.183486 2494.321101 0.097759 1461.160278 0.002415 0.240548 0.443832 -0.520506 2.500319 1532.899083 3.444954 1.444954
0.000000 682.453947 990.826754 1359.535088 2423.322368 3391.302632 2524.986842 1704.787281 2111.482456 2312.666667 0.089657 1217.391602 0.002874 0.282803 0.504837 -0.549461 3.041441 1545.885965 3.995614 1.458333
0.000000 672.030928 991.876289 1316.536082 2521.247423 3391.412371 2547.422680 1675.618557 2169.525773 2397.742268 0.075597 1094.054199 0.002277 0.315946 0.593541 -0.548631 2.690454 1546.536082 4.835052 1.608247
0.000000 726.180556 1045.634259 1442.412037 2497.310185 3434.495370 2475.680556 1783.949074 2167.884259 2375.416667 0.097357 1373.881348 0.002418 0.270188 0.490563 -0.535025 2.429524 1540.212963 4.000000 1.518519
0.000000 760.489051 1117.058394 1503.970803 2632.408759 3500.109489 2600.445255 1890.072993 2324.277372 2531.364964 0.086671 1276.611206 0.003206 0.274368 0.523024 -0.517200 2.836941 1496.737226 4.000000 3.759124
0.000000 551.769231 798.038462 1038.038462 2181.038462 2907.615385 1931.807692 1384.846154 1853.807692 2064.807692 0.106089 1232.600952 0.006677 0.355789 0.607185 -0.569585 1.940308 1497.115385 4.000000 3.884615
0.000000 991.497872 1403.914894 1863.068085 3086.582979 4370.587234 3533.438298 2278.344681 2728.557447 2946.000000 0.053671 1037.678833 0.002336 0.248349 0.540837 -0.514317 2.294055 1434.425532 3.838298 1.574468
0.000000 846.095238 1196.219048 1693.942857 2762.961905 4453.195238 3658.885714 2067.061905 2453.919048 2655.176190 0.032094 579.407166 0.000648 0.242579 0.468625 -0.577422 2.145430 1432.185714 1.461905 3.985714
0.000000 724.517601 1026.125163 1377.058670 2432.256845 3329.319426 2547.036506 1734.784876 2141.112125 2333.791395 0.075030 1065.336426 0.003817 0.279569 0.508984 -0.530140 2.471762 1504.376793 4.427640 1.551499
0.000000 714.612628 1016.481229 1326.117747 2503.639932 3535.919795 2641.373720 1690.542662 2167.740614 2388.133106 0.058942 910.233765 0.003401 0.312042 0.590665 -0.555429 2.962337 1549.894198 2.104096 1.841297
0.000000 612.936675 909.282322 1243.366755 2542.601583 3480.744063 2554.419525 1665.345646 2208.179420 2437.092348 0.050371 763.516296 0.001332 0.347525 0.651238 -0.586467 2.247266 1526.158311 4.000000 3.021108
0.000000 743.035170 1114.624853 1597.196952 2614.874560 3591.936694 2790.866354 1952.335287 2340.366940 2523.284877 0.077514 1197.894897 0.002089 0.243241 0.437769 -0.527090 2.811110 1558.597890 4.819461 1.349355
0.000000 695.012695 982.753906 1358.746094 2317.005859 3175.379883 2449.029297 1681.870117 2020.985352 2205.290039 0.087505 1200.895264 0.004962 0.263726 0.452180 -0.528974 2.263659 1524.632812 4.397461 1.605469
0.000000 713.868852 1025.992974 1357.889930 2484.964871 3405.213115 2544.276347 1733.861827 2157.690867 2368.358314 0.083491 1165.872559 0.003446 0.295780 0.550619 -0.538258 2.288777 1485.440281 4.000000 4.131148
0.000000 920.526316 1302.273684 1751.246784 2896.784795 3897.369591 3140.394152 2143.378947 2572.656140 2785.419883 0.064732 1205.188599 0.002288 0.250678 0.513699 -0.500607 2.904010 1478.898246 3.783626 1.516959
0.000000 607.943182 842.529545 1123.861364 2125.339773 2889.177273 2134.262500 1443.096591 1824.518182 2015.067045 0.099769 1219.728516 0.006282 0.310247 0.515905 -0.549591 2.535882 1513.563636 4.342045 1.734091
0.000000 611.267477 871.778116 1208.145897 2209.455927 3071.846505 2237.334347 1542.712766 1911.651976 2100.127660 0.086054 1105.784790 0.004323 0.294083 0.491479 -0.558319 2.478972 1524.822188 4.992401 1.521277
0.000000 964.461538 1366.230769 1888.358974 2980.717949 4108.410256 3423.846154 2269.538462 2630.820513 2834.487179 0.070004 1301.413208 0.001601 0.226619 0.462422 -0.502484 2.461262 1439.000000 3.000000 1.384615
0.000000 1085.530612 1526.469388 2055.938776 3084.734694 4273.795918 3605.857143 2408.285714 2732.551020 2927.693878 0.074588 1439.042358 0.001534 0.202794 0.423218 -0.475423 1.918147 1438.122449 3.000000 1.530612
0.000000 837.052846 1189.577236 1621.447154 2721.113821 3772.821138 2975.434959 1994.833333 2399.516260 2600.556911 0.061506 1015.844299 0.002850 0.255582 0.498577 -0.522029 2.300889 1456.577236 4.890244 1.727642
0.000000 848.957983 1215.117647 1643.613445 2795.521008 3721.462185 2930.470588 2044.957983 2478.319328 2690.873950 0.069923 1138.585571 0.003541 0.260313 0.522268 -0.508141 1.796540 1474.924370 1.773109 2.142857
0.000000 798.140957 1139.553191 1540.268617 2635.598404 3568.013298 2803.659574 1913.135638 2328.114362 2538.175532 0.071080 1097.350586 0.003094 0.265155 0.507745 -0.517497 2.219193 1476.808511 3.906915 1.510638
0.000000 862.603093 1248.386598 1736.876289 2888.242268 3876.061856 3051.412371 2136.690722 2580.613402 2797.721649 0.067219 1163.586792 0.002735 0.251138 0.502813 -0.513907 2.570926 1487.757732 4.000000 4.154639
0.000000 660.898413 989.777778 1379.434921 2412.507937 3287.355556 2640.346032 1739.111111 2142.485714 2331.285714 0.061378 938.053284 0.003224 0.273853 0.476729 -0.537921 2.354593 1496.815873 5.000000 1.568254
0.000000 581.068841 795.112319 1016.043478 2140.989130 2962.898551 2167.420290 1337.887681 1813.442029 2033.521739 0.085873 1111.934937 0.006690 0.359272 0.616484 -0.578124 1.929989 1530.355072 5.000000 1.807971
0.000000 662.648148 922.050926 1207.606481 2296.740741 3161.574074 2377.032407 1538.662037 1971.907407 2185.731481 0.065561 863.063965 0.003705 0.321315 0.562583 -0.554104 2.166688 1530.379630 5.000000 2.189815
0.000000 870.449275 1247.376812 1657.457971 2823.081159 3733.852174 3042.234783 2062.026087 2508.573913 2719.562319 0.052873 937.824280 0.002656 0.263623 0.533734 -0.500962 2.586651 1512.605797 1.623188 2.191304
0.000000 853.184028 1215.579861 1601.649306 2745.208333 3534.381944 2763.642361 1966.045139 2414.659722 2636.385417 0.077143 1246.819214 0.002971 0.265770 0.531526 -0.490576 2.578683 1494.923611 2.767361 1.586806
0.000000 978.517021 1398.108511 1871.438298 2977.853191 4072.842553 3302.887234 2265.074468 2648.725532 2859.221277 0.053776 992.296570 0.002049 0.234773 0.480659 -0.492637 2.817600 1447.463830 3.457447 1.491489
0.000000 853.671533 1274.956204 1752.463504 2783.755474 3884.667883 3046.886861 2123.229927 2489.452555 2686.072993 0.062617 1041.440186 0.001369 0.228526 0.435312 -0.506505 1.951071 1477.945255 4.000000 1.883212
0.000000 592.580189 816.382075 1042.608491 2185.995283 3137.391509 2167.033019 1371.231132 1832.792453 2059.995283 0.079549 1032.188232 0.003395 0.357609 0.622817 -0.589461 2.020675 1483.127358 2.981132 3.250000
0.000000 842.628571 1140.457143 1491.028571 2676.971429 3762.428571 2896.028571 1837.914286 2304.542857 2542.828571 0.059244 935.909119 0.001361 0.288725 0.586083 -0.537927 3.768340 1487.971429 3.000000 4.000000
0.000000 1040.818182 1415.136364 1862.272727 2865.409091 4404.363636 3589.227273 2191.000000 2530.681818 2733.363636 0.041517 800.897705 0.000778 0.212369 0.441516 -0.513558 4.880032 1486.636364 1.409091 3.636364
0.000000 870.839056 1211.326180 1614.163090 2715.650215 3625.236052 2931.040773 1982.931330 2401.077253 2602.491416 0.059904 969.164185 0.002493 0.257132 0.511757 -0.500803 1.806440 1450.182403 4.000000 1.682403
0.000000 622.480122 864.131498 1165.333333 2117.330275 3191.113150 2308.385321 1468.073394 1819.773700 2001.541284 0.097937 1222.401489 0.005231 0.292061 0.479545 -0.574887 2.851804 1542.324159 4.000000 1.360856
0.000000 941.133333 1343.095556 1836.131111 2968.906667 3973.248889 3151.933333 2227.593333 2648.831111 2864.522222 0.056087 989.441223 0.001882 0.239186 0.490717 -0.496358 2.476675 1463.624444 4.213333 1.428889
0.000000 896.487535 1294.506925 1775.398892 2862.681440 3979.498615 3131.393352 2150.678670 2506.376731 2718.534626 0.054000 904.792786 0.001270 0.238906 0.471233 -0.512097 1.979990 1375.041551 4.249307 1.709141
0.000000 995.452703 1399.875000 1860.763514 3037.398649 4161.750000 3313.013514 2262.989865 2666.638514 2892.027027 0.052280 981.644104 0.001481 0.243451 0.520778 -0.498128 2.367714 1380.118243 3.908784 4.956081
0.000000 782.130824 1114.729391 1538.779570 2630.198925 3739.856631 2904.491039 1903.094982 2276.043011 2485.657706 0.058726 926.472351 0.001578 0.264966 0.501199 -0.542413 2.589856 1366.442652 4.781362 1.471326
0.000000 907.875630 1277.292437 1744.023529 2927.902521 4038.173109 3175.117647 2145.315966 2557.492437 2777.127731 0.050848 883.231934 0.001555 0.256321 0.529823 -0.521165 2.233454 1388.314286 4.991597 1.541176
0.000000 653.606557 920.038251 1196.986339 2466.879781 3366.224044 2424.464481 1580.163934 2100.065574 2346.595628 0.062359 885.506348 0.001637 0.353343 0.667147 -0.573519 2.267338 1477.956284 3.275956 1.781421
0.000000 834.677419 1179.924731 1559.182796 2806.741935 3756.537634 3034.956989 1980.000000 2448.645161 2660.129032 0.050991 878.496826 0.003022 0.287712 0.593099 -0.522903 2.240562 1448.946237 5.000000 1.903226
0.000000 612.920000 838.248000 1142.440000 2054.912000 3103.888000 2220.896000 1420.720000 1740.120000 1931.848000 0.091508 1171.233032 0.003302 0.291626 0.459865 -0.579791 1.600615 1480.264000 2.688000 4.608000
0.000000 532.596154 767.826923 940.307692 2281.403846 2878.807692 2017.615385 1344.384615 1921.923077 2161.615385 0.068578 851.077515 0.001659 0.419883 0.756417 -0.580652 1.996426 1483.961538 4.000000 4.000000
0.000000 475.881356 646.983051 795.118644 1880.305085 2644.610169 1837.000000 1112.830508 1549.762712 1760.135593 0.095217 1107.530029 0.010977 0.405798 0.630810 -0.607269 2.108645 1476.169492 1.254237 4.915254
0.000000 610.768293 855.146341 1036.853659 2477.621951 3166.256098 2233.756098 1455.402439 2075.353659 2345.792683 0.063038 871.582336 0.001161 0.415053 0.808729 -0.576683 2.216226 1483.512195 4.000000 1.865854
0.000000 528.705882 757.941176 908.004525 2379.493213 2962.438914 1908.719457 1358.542986 1966.298643 2227.990950 0.063115 830.539368 0.002896 0.450438 0.844109 -0.593758 2.875198 1488.366516 2.031674 4.895928
0.000000 556.903509 782.438596 983.986842 2256.728070 3087.973684 2125.951754 1357.144737 1872.846491 2113.495614 0.068278 866.245605 0.002136 0.397540 0.709147 -0.597404 2.728500 1501.267544 3.894737 2.328947
0.000000 776.226415 1133.792453 1599.905660 2588.792453 3542.056604 2736.216981 1940.594340 2275.113208 2471.198113 0.079581 1248.036255 0.002739 0.237466 0.430609 -0.515685 1.960702 1439.707547 1.603774 2.669811
0.000000 730.888889 1059.865079 1494.079365 2508.714286 3489.404762 2721.039683 1835.182540 2197.571429 2403.896825 0.067193 1033.032471 0.002331 0.257733 0.459032 -0.536578 2.505471 1477.761905 2.753968 1.769841
0.000000 746.555556 1057.523392 1416.526316 2545.836257 3519.853801 2755.324561 1773.631579 2198.728070 2417.321637 0.064081 957.676086 0.002446 0.288822 0.544861 -0.540585 2.190660 1453.520468 4.000000 1.467836
1.000000 767.223529 1033.905882 1369.223529 2385.282353 3676.552941 2700.423529 1686.211765 2046.105882 2250.082353 0.069131 1051.481934 0.002356 0.273061 0.501276 -0.563140 3.286791 1467.552941 0.611765 4.000000
1.000000 814.917647 1085.429412 1381.611765 2467.123529 4005.923529 3036.635294 1733.352941 2119.688235 2325.952941 0.041171 652.645142 0.001126 0.282717 0.552772 -0.573951 2.927709 1473.082353 0.511765 3.735294
1.000000 653.253731 837.089552 1041.820896 1958.328358 3395.552239 2749.014925 1301.567164 1639.477612 1828.641791 0.068496 1006.710815 0.004693 0.306494 0.504576 -0.604749 3.605918 1473.835821 0.731343 3.089552
1.000000 635.945455 824.963636 1007.309091 2024.854545 3400.727273 2553.309091 1289.327273 1696.127273 1893.454545 0.068689 924.851013 0.006046 0.339597 0.572627 -0.611007 2.747192 1469.272727 0.163636 3.854545
1.000000 591.819277 822.975904 983.626506 2160.566265 3102.228916 2208.939759 1324.036145 1820.409639 2033.361446 0.063922 865.962891 0.005278 0.378637 0.665930 -0.582607 4.233283 1474.939759 0.084337 3.096386
1.000000 497.113208 693.698113 838.490566 2213.320755 3204.981132 2081.622642 1204.566038 1798.641509 2049.188679 0.059262 776.374756 0.003011 0.451472 0.801998 -0.642997 4.581971 1473.150943 0.358491 3.830189
1.000000 664.843750 899.708333 1084.958333 2266.885417 3393.447917 2466.729167 1428.833333 1909.916667 2127.166667 0.057040 824.601807 0.003342 0.356711 0.658338 -0.583165 3.273474 1469.979167 0.437500 4.510417
1.000000 766.423729 1035.033898 1282.000000 2398.067797 3881.593220 2812.237288 1616.288136 2031.338983 2246.000000 0.052626 814.458618 0.002819 0.305055 0.585086 -0.580030 3.136591 1468.338983 0.000000 4.813559
1.000000 881.078947 1170.245614 1455.236842 2486.991228 4125.877193 3098.745614 1786.008772 2160.701754 2354.719298 0.040477 692.234253 0.001883 0.264542 0.522037 -0.559546 4.195970 1476.561404 0.377193 3.912281
1.000000 613.523810 824.492063 1044.420635 2031.325397 3468.841270 2437.388889 1340.269841 1717.373016 1907.333333 0.050164 676.948547 0.002474 0.321331 0.532845 -0.616770 2.786841 1497.730159 1.166667 4.436508
1.000000 574.578947 763.263158 877.017544 2076.192982 2893.982456 2175.421053 1192.684211 1739.035088 1956.754386 0.069402 861.437988 0.004388 0.405247 0.714741 -0.582209 3.372005 1484.052632 0.385965 2.385965
1.000000 752.090909 1001.056818 1210.681818 2480.056818 3742.352273 2752.863636 1565.295455 2088.193182 2328.397727 0.055746 875.318298 0.004279 0.347922 0.698898 -0.578323 4.071032 1432.818182 0.068182 1.818182
1.000000 864.520548 1197.602740 1557.205479 2645.698630 4059.684932 3290.410959 1936.082192 2323.972603 2529.369863 0.034356 581.974487 0.000658 0.260891 0.519371 -0.544846 4.008860 1426.547945 0.726027 3.753425
1.000000 617.423729 843.796610 1005.762712 2129.186441 2965.711864 2200.728814 1337.610169 1814.864407 2023.220339 0.065024 798.971313 0.003326 0.364018 0.634881 -0.558792 3.737481 1431.016949 0.203390 2.338983
1.000000 663.173913 861.043478 1040.202899 2147.318841 3213.144928 2638.971014 1329.318841 1792.159420 2017.391304 0.081969 1207.171143 0.008541 0.347893 0.630285 -0.577566 3.117230 1452.434783 0.391304 2.043478
1.000000 640.851064 844.723404 1027.106383 2133.872340 3435.680851 2541.914894 1337.829787 1791.914894 2009.744681 0.067873 951.303284 0.005742 0.352930 0.624990 -0.606538 3.308656 1451.765957 0.148936 3.319149
1.000000 697.576923 900.730769 1096.730769 2228.442308 3325.115385 2746.807692 1400.115385 1864.134615 2095.865385 0.063214 939.531250 0.003751 0.343150 0.637990 -0.574232 2.714687 1454.788462 1.269231 1.750000
1.000000 662.983871 890.903226 1038.387097 2476.806452 3217.274194 2478.822581 1394.838710 2075.451613 2354.274194 0.072897 1115.496094 0.007854 0.411381 0.833295 -0.566685 3.784618 1446.548387 0.000000 4.080645
1.000000 588.635593 814.610169 945.000000 2270.822034 3023.983051 2230.076271 1317.025424 1902.364407 2139.093220 0.074819 1038.531860 0.007237 0.414490 0.770769 -0.575065 2.299718 1493.813559 0.415254 2.940678
1.000000 603.270833 819.548611 1000.305556 2192.798611 3017.305556 2240.583333 1318.527778 1831.937500 2063.930556 0.071718 982.555969 0.005447 0.375285 0.673875 -0.574025 4.020558 1457.131944 0.319444 3.770833
1.000000 753.259740 1016.012987 1299.974026 2436.012987 3647.675325 2581.727273 1643.194805 2071.805195 2293.844156 0.064355 962.374573 0.003342 0.309762 0.588586 -0.566720 2.757405 1506.012987 0.116883 3.948052
1.000000 627.084337 855.819277 1096.096386 2140.759036 3351.192771 2369.951807 1390.626506 1789.602410 2002.590361 0.080140 1078.666260 0.010649 0.325588 0.558302 -0.593498 3.745413 1513.337349 0.915663 3.759036
1.000000 993.475000 1443.475000 1987.633333 3008.741667 4677.391667 3829.208333 2349.941667 2712.450000 2905.775000 0.038992 785.321716 0.001127 0.207185 0.413285 -0.529837 4.000761 1558.066667 0.600000 2.250000
1.000000 544.113208 745.320755 907.792453 2054.641509 2838.566038 2009.018868 1217.433962 1688.094340 1904.905660 0.087740 1150.333984 0.011232 0.389746 0.656117 -0.584662 3.491333 1552.169811 0.207547 3.830189
1.000000 654.969231 849.523077 1028.961538 2102.823077 3325.684615 2769.538462 1310.338462 1761.646154 1973.607692 0.068609 989.710083 0.004680 0.343183 0.608791 -0.593251 3.031602 1527.276923 0.246154 2.361538
1.000000 761.912114 1037.076010 1312.182898 2408.776722 3794.337292 2950.199525 1640.738717 2062.256532 2270.087886 0.055384 869.838806 0.004214 0.303524 0.567539 -0.573804 2.882641 1527.420428 0.199525 3.733967
1.000000 656.637306 863.041451 1085.217617 2052.637306 3407.943005 2600.207254 1362.316062 1731.238342 1924.098446 0.060167 845.225708 0.003868 0.308320 0.522887 -0.596369 2.942266 1526.725389 0.984456 3.150259
1.000000 530.000000 734.100000 873.000000 2031.900000 2719.000000 1937.100000 1184.500000 1689.200000 1900.900000 0.077544 929.846802 0.008209 0.399739 0.670050 -0.575474 1.741379 1435.900000 0.000000 4.800000
